      Step     Time          Energy          fmax
FIRE:    0 14:28:36      -25.780552        0.102594
FIRE:    1 14:28:36      -25.780834        0.089319
FIRE:    2 14:28:37      -25.781246        0.064586
FIRE:    3 14:28:37      -25.781566        0.031746
FIRE:    4 14:28:38      -25.781627        0.019875
FIRE:    5 14:28:38      -25.781629        0.019304
FIRE:    6 14:28:39      -25.781633        0.018179
FIRE:    7 14:28:39      -25.781638        0.016538
FIRE:    8 14:28:40      -25.781644        0.014434
FIRE:    9 14:28:40      -25.781650        0.011935
FIRE:   10 14:28:41      -25.781655        0.009127
