      Step     Time          Energy          fmax
FIRE:    0 14:27:46      -74.695711        0.212793
FIRE:    1 14:27:48      -74.699206        0.195941
FIRE:    2 14:27:50      -74.705241        0.164751
FIRE:    3 14:27:51      -74.712298        0.123932
FIRE:    4 14:27:53      -74.718882        0.080038
FIRE:    5 14:27:55      -74.724043        0.076688
FIRE:    6 14:27:56      -74.727571        0.091808
FIRE:    7 14:27:58      -74.729760        0.098875
FIRE:    8 14:27:59      -74.731098        0.092186
FIRE:    9 14:28:01      -74.731690        0.070717
FIRE:   10 14:28:02      -74.731884        0.069040
FIRE:   11 14:28:04      -74.732248        0.065720
FIRE:   12 14:28:06      -74.732742        0.060820
FIRE:   13 14:28:07      -74.733309        0.054430
FIRE:   14 14:28:09      -74.733887        0.046665
FIRE:   15 14:28:11      -74.734415        0.037664
FIRE:   16 14:28:12      -74.734841        0.027597
FIRE:   17 14:28:14      -74.735152        0.017593
FIRE:   18 14:28:16      -74.735288        0.014675
FIRE:   19 14:28:18      -74.735240        0.020656
FIRE:   20 14:28:20      -74.735247        0.020383
FIRE:   21 14:28:22      -74.735260        0.019842
FIRE:   22 14:28:24      -74.735279        0.019043
FIRE:   23 14:28:25      -74.735303        0.017999
FIRE:   24 14:28:27      -74.735330        0.016732
FIRE:   25 14:28:29      -74.735360        0.015264
FIRE:   26 14:28:30      -74.735391        0.013628
FIRE:   27 14:28:32      -74.735424        0.011665
FIRE:   28 14:28:34      -74.735458        0.009379
