step,elapsed_seconds,total_energy_eV,energy_per_atom_eV,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_percent,lattice_a_A,lattice_b_A,lattice_c_A,angle_alpha_deg,angle_beta_deg,angle_gamma_deg,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,force_converged,stress_converged,overall_converged,safety_status
0,0.0,-44.56807607688442,-5.571009509610552,0.16080041576105142,0.041879643811068824,0.08047034220586187,2.514001842458065e-16,-0.04042359454436498,-0.0374954184483201,-0.03847086961862685,0.004519597716073869,1.4748760648434658e-17,1.8244816712616336e-17,0.04042359454436498,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.0,0.0,0.0,0.0,False,,False,PASS
1,1.827999999979511,-44.568569769578424,-5.571071221197303,0.14597435075308046,0.03672589391178197,0.07298865220162241,1.4365494341736013e-16,-0.040562634534169376,-0.03746283285041219,-0.038437774210729914,0.0045172299124155695,-5.706622792186566e-17,1.4640903096196327e-18,0.040562634534169376,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.0016080041576107206,0.0008047034220586544,0.0016080041576106156,0.0008047034220586298,False,,False,PASS
2,2.625,-44.56937869103133,-5.5711723363789165,0.11793596039702126,0.03319082682477544,0.05943218500359491,1.0958337484183831e-16,-0.04083671440101955,-0.03740909462076321,-0.0383825637833528,0.0045103996245596245,2.604289809607333e-17,2.5649393530419765e-18,0.04083671440101955,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.004675888834988838,0.0023386802223897773,0.004675888834988936,0.002338680222389846,False,,False,PASS
3,3.452999999979511,-44.57022508338932,-5.571278135423665,0.07984167917998938,0.02801815458677915,0.043050912584423416,3.1153485798129895e-16,-0.041235890906120475,-0.03735298486016552,-0.038323137765587566,0.004495025866114675,1.4689746720229876e-17,2.3671052430237705e-17,0.041235890906120475,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.00892077752077737,0.0044604049180195764,0.008920777520777221,0.0044604049180195235,False,,False,PASS
4,4.297000000020489,-44.57085764990082,-5.571357206237603,0.04905138380290084,0.021365422133601673,0.030544011875670213,7.928786725333692e-17,-0.04173990529941196,-0.03731426865357073,-0.03827799844882704,0.004465262957531151,-1.4168682479172122e-17,5.304881455177915e-18,0.04173990529941196,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.013933438155923992,0.006973896899256741,0.013933438155924129,0.006973896899256795,False,,False,PASS
5,5.141000000061467,-44.571175655314555,-5.571396956914319,0.05968651829745552,0.016270868419448685,0.029965007819601614,1.6011158501508754e-16,-0.04230517498083555,-0.037307570105328015,-0.03826035018571887,0.004414538371039249,-4.781401447952684e-18,3.561309100264777e-17,0.04230517498083555,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.01910989882702808,0.009611183870841204,0.019109898827028016,0.009611183870841264,False,,False,PASS
6,6.0,-44.5712697633686,-5.571408720421075,0.05959783742417737,0.024321325278672517,0.03525706297794963,1.148322512405202e-16,-0.04285337567849199,-0.03733360605255173,-0.038270923458928865,0.0043429173145347055,3.942171923944879e-17,1.489358869908593e-17,0.04285337567849199,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.02366635015108934,0.012045910028058462,0.023666350151089498,0.012045910028058498,False,,False,PASS
7,6.85999999998603,-44.57129424294443,-5.571411780368054,0.05799871058914179,0.02354110754745703,0.034175301482096916,1.2115743059205483e-16,-0.04284736212663292,-0.03733683591480433,-0.0382735267084565,0.0043400158280762,-3.4627503963367507e-18,1.5858491951620948e-17,0.04284736212663292,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.02357213168887934,0.012013851500048894,0.023572131688879432,0.012013851500048963,False,,False,PASS
8,7.687999999965541,-44.57134022183386,-5.571417527729232,0.05484848760993663,0.02200598176850256,0.03205059417531843,1.712796226370024e-16,-0.04283572473625613,-0.03734332406921365,-0.03827877645558327,0.004334281472323,1.5964578770736108e-17,-5.903817745422656e-17,0.04283572473625613,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.023387593361327307,0.011952925735107998,0.023387593361327425,0.01195292573510799,False,,False,PASS
9,8.48499999998603,-44.57140211817607,-5.571425264772008,0.050241613963008455,0.019766073065650487,0.028961023389135622,1.595399304778332e-16,-0.04281924452501721,-0.037353112490216084,-0.03828674319453845,0.004325846308724854,-1.485235336609354e-19,-2.728602810107528e-17,0.04281924452501721,90.37206581100938,11.296508226376172,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.023120603278336666,0.011869403055480182,0.023120603278336604,0.011869403055480123,False,,False,PASS
