step,elapsed_seconds,total_energy_eV,energy_per_atom_eV,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_percent,lattice_a_A,lattice_b_A,lattice_c_A,angle_alpha_deg,angle_beta_deg,angle_gamma_deg,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,force_converged,stress_converged,overall_converged,safety_status
0,0.0,-74.69571087869917,-4.668481929918698,0.21279294890942585,0.14473339806982066,0.1505014128742379,3.278988861407422e-16,-0.016041624498206574,-0.0185317794392341,-0.02025182492773855,5.077573640335501e-11,-2.09650421849748e-12,-5.915717316881025e-07,0.02025182492773855,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.0,0.0,0.0,0.0,False,,False,PASS
1,4.358999999938533,-74.69920563701449,-4.668700352313405,0.1959408423597707,0.1351732074881049,0.13992711460200657,8.194923790020571e-17,-0.015853172172733375,-0.018761440078012486,-0.020274012059594778,4.850489234791878e-11,-3.5522923521982274e-12,-3.923044884738236e-07,0.020274012059594778,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.002127929489094174,0.0015050141287423471,0.0021279294890942818,0.0015050141287424076,False,,False,PASS
2,5.843999999924563,-74.70524110850474,-4.669077569281546,0.16475097349391993,0.11791727384194953,0.1209963170755202,1.1995855589903247e-16,-0.015513072683256064,-0.019207514656624337,-0.020326578778294906,4.43094450095366e-11,-5.7201136038539435e-12,-2.7489266572821543e-08,0.020326578778294906,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.006213216314326966,0.004408151470804689,0.006213216314326703,0.004408151470804669,False,,False,PASS
3,7.265999999945052,-74.71229785079584,-4.66951861567474,0.1239322592679327,0.09669253701710925,0.09805359530976386,1.5276595599123087e-16,-0.015081134926893204,-0.01984048976961559,-0.020423730526654627,3.875160610629161e-11,-7.583067839650638e-12,4.3852849582289795e-07,0.020423730526654627,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.01193249346129185,0.008510193969108265,0.011932493461292428,0.008510193969108364,False,,False,PASS
4,8.811999999918044,-74.7188820779745,-4.669930129873406,0.08003769911833108,0.07703014140379225,0.07720209923735692,2.9983249451814066e-16,-0.014620263966418514,-0.020609160359496715,-0.02058148372308738,3.2432213354644313e-11,-8.565262287563087e-12,9.173527191066092e-07,0.020609160359496715,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.018836791960859904,0.013540248912456554,0.018836791960859824,0.013540248912456549,False,,False,PASS
5,10.483999999938533,-74.72404342808376,-4.670252714255235,0.07668768732982938,0.06297205176801504,0.06425341018616457,2.5023456804105844e-16,-0.01418139017347491,-0.021432706895545866,-0.020812686872706185,2.5842001205648978e-11,-8.972405030842277e-12,1.3075622183009054e-06,0.021432706895545866,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.026367225599191562,0.019163991572170427,0.026367225599191312,0.019163991572170486,False,,False,PASS
6,12.061999999918044,-74.72757105929475,-4.670473191205922,0.09180758868285717,0.054727706689479336,0.05957306688378192,2.5212746295894274e-16,-0.013800613486299178,-0.02219997119248863,-0.021119572850098606,1.9256895937721554e-11,-9.50860108547336e-12,1.5232954186209994e-06,0.02219997119248863,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.03388309288621331,0.024979861237189267,0.033883092886213474,0.024979861237189288,False,,False,PASS
7,13.546999999904074,-74.72975999113112,-4.670609999445695,0.09887506188107624,0.05158334827941273,0.05835159767738351,4.006360104973854e-16,-0.013503864555311534,-0.022801273560201552,-0.02148710284389898,1.266138260439731e-11,-9.97258458230402e-12,1.542473947081265e-06,0.022801273560201552,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.04083524708556747,0.03058716825788981,0.04083524708556767,0.030587168257889843,False,,False,PASS
8,15.140999999945052,-74.7310976930092,-4.670693605813075,0.09218556274836007,0.053178167089162384,0.05776786831124687,4.597093570917671e-16,-0.01329548708622752,-0.02319656118096707,-0.02193025006400349,5.177840028460849e-12,-8.84125089836416e-12,1.3948336556650744e-06,0.02319656118096707,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.04756364926481992,0.03621460970246647,0.047563649264820144,0.03621460970246656,False,,False,PASS
9,16.718999999924563,-74.73169038266003,-4.670730648916252,0.07071680261904739,0.057080580539919275,0.05790085041506402,4.727575013058477e-16,-0.013226486172066461,-0.023306271414326587,-0.022410567159866442,-3.0408328257664665e-12,-4.540028762864594e-12,1.1514991740803462e-06,0.023306271414326587,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.0539523632953965,0.04157915617484164,0.053952363295396884,0.04157915617484175,False,,False,PASS
