phase_order_index,phase_key,formula,material_id,number_of_atoms,stage,result_class,diagnostic_only,total_energy_eV,energy_per_atom_eV,energy_change_from_initial_eV,energy_change_from_initial_eV_per_atom,maximum_force_eV_per_A,rms_force_eV_per_A,total_force_x_eV_per_A,total_force_y_eV_per_A,total_force_z_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_from_initial_A3,volume_change_from_initial_percent,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,maximum_displacement_A,rms_displacement_A,displacement_definition,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_cartesian_displacement_A,rms_total_cartesian_displacement_A,optimizer_steps,wall_clock_duration_s,force_converged,stress_converged,overall_convergence_status,safety_status,space_group_symbol,space_group_number,space_group_symbol_preserved,space_group_number_preserved,symmetry_preserved,source_result_path
0,Al3Ni,Al3Ni,mp-622209,16,initial,BASELINE,false,-74.69571087869917,-4.668481929918698,0.0,0.0,0.21279294890942585,0.1505014128742379,2.7755575615628914e-17,5.551115123125783e-17,3.219717683952507e-16,3.278988861407422e-16,-0.016041624498206574,-0.0185317794392341,-0.02025182492773855,5.077573640335501e-11,-2.09650421849748e-12,-5.915717316881025e-07,0.02025182492773855,228.5507372689479,14.284421079309244,0.0,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.0,0.0,baseline_zero,0.0,0.0,0.0,0.0,0,0.0,false,false,BASELINE,NOT_APPLICABLE,Pnma,62,true,true,true,data/processed/ni_al_structures/selected/Al3Ni.extxyz
0,Al3Ni,Al3Ni,mp-622209,16,atomic_only,ACCEPTED_CONVERGED,false,-74.73545759047205,-4.670966099404503,-0.03974671177287803,-0.002484169485804877,0.009378659891460002,0.008007177851933866,7.28583859910259e-17,1.1796119636642288e-16,-1.2043649133609596e-16,1.8365221671072914e-16,-0.013910533155144584,-0.021967837074539424,-0.022167759531864537,2.095876308085519e-12,-1.4559524771310043e-12,9.77037607712471e-07,0.022167759531864537,228.5507372689479,14.284421079309244,0.0,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.05055719702398555,0.03820386559548627,fixed-cell periodic minimum-image,0.05055719702398555,0.03820386559548627,0.05055719702398578,0.038203865595486254,28,49.671999999904074,true,,CONVERGED,PASS,Pnma,62,true,true,true,results/mace_relaxation/atomic_only/checkpoints/Al3Ni_atomic_only_result.json
0,Al3Ni,Al3Ni,mp-622209,16,full_cell,ACCEPTED_CONVERGED,false,-74.81024262576469,-4.675640164110293,-0.11453174706551295,-0.007158234191594559,0.005809431958205054,0.004523557446348245,1.1449174941446927e-16,-7.632783294297951e-17,2.1972723796624384e-18,1.3761949996881778e-16,-0.0001389340925515161,-0.00013103583997058207,0.0004761163665090529,2.39967288241613e-12,-6.15842812497585e-13,-1.6737892615033657e-07,0.0004761163665090529,234.8122635612436,14.675766472577726,6.261526292295713,2.7396657596109346,4.733918385346819,6.69299719141167,7.4110435628184,89.9999999995037,90.0000000001672,90.00004673033646,0.06037605856961677,0.05303668845935382,initial-cell internal-coordinate minimum-image,0.06037605856961677,0.05303668845935382,0.1948540732280128,0.11700247892898874,40,67.31200000003446,true,true,CONVERGED,PASS,Pnma,62,true,true,true,results/mace_relaxation/full_cell/checkpoints/Al3Ni_full_cell_result.json
1,Al3Ni2,Al3Ni2,mp-1057,5,initial,BASELINE,false,-25.78055209010038,-5.156110418020075,0.0,0.0,0.10259415553179091,0.0779328282836741,-1.5978429517005122e-17,-1.280883222837953e-17,-2.498001805406602e-16,2.5063819858718887e-16,-0.023517664718076,-0.023518164956813057,-0.01605193361656587,-1.1946262195306376e-08,1.189897118181321e-09,-3.098263829685444e-07,0.023518164956813057,67.4350609096183,13.48701218192366,0.0,0.0,3.994196,3.994195457570523,4.880862,90.0,90.0,120.00002105628027,0.0,0.0,baseline_zero,0.0,0.0,0.0,0.0,0,0.0,false,false,BASELINE,NOT_APPLICABLE,P-3m1,164,true,true,true,data/processed/ni_al_structures/selected/Al3Ni2.extxyz
1,Al3Ni2,Al3Ni2,mp-1057,5,atomic_only,ACCEPTED_CONVERGED,false,-25.781655115853006,-5.156331023170601,-0.001103025752627218,-0.00022060515052579888,0.009127100352973972,0.005805500413342078,1.3787578798931874e-17,-5.8417215394168925e-18,-4.5102810375396984e-17,4.7523536731180486e-17,-0.022666518222939136,-0.02266679266341074,-0.01561971895362315,-1.9839587853724264e-08,1.985728906456859e-08,-1.2999726067506685e-07,0.02266679266341074,67.4350609096183,13.48701218192366,0.0,0.0,3.994196,3.994195457570523,4.880862,90.0,90.0,120.00002105628027,0.008259902857096638,0.00585652578072295,fixed-cell periodic minimum-image,0.008259902857096638,0.00585652578072295,0.008259902857096569,0.005856525780722969,10,5.922000000020489,true,,CONVERGED,PASS,P-3m1,164,true,true,true,results/mace_relaxation/atomic_only/checkpoints/Al3Ni2_atomic_only_result.json
1,Al3Ni2,Al3Ni2,mp-1057,5,full_cell,ACCEPTED_CONVERGED,false,-25.798824772972484,-5.159764954594497,-0.01827268287210515,-0.0036545365744213854,0.009253892285241845,0.007985378058713667,1.8294323473916786e-17,4.229711961673552e-17,2.42861286636753e-17,5.209169458473516e-17,-6.590182962362398e-05,-6.592218368073582e-05,0.0002693647048544764,2.393013502864925e-09,-1.8430118530062345e-09,-1.4476088902322046e-09,0.0002693647048544764,69.04177735149862,13.808355470299725,1.606716441880323,2.382612872603124,4.035136286048502,4.035136176792927,4.896265242684819,89.99999917122695,90.00000049138794,120.00000196852307,0.006822674984666958,0.0043313728537345084,initial-cell internal-coordinate minimum-image,0.006822674984666958,0.0043313728537345084,0.027340451757935164,0.0227445145710778,33,18.71799999999348,true,true,CONVERGED,PASS,P-3m1,164,true,true,true,results/mace_relaxation/full_cell/checkpoints/Al3Ni2_full_cell_result.json
2,AlNi,AlNi,mp-1487,2,initial,BASELINE,false,-10.813681752983006,-5.406840876491503,0.0,0.0,4.888791560310382e-08,4.888791558876923e-08,-5.421010862427522e-18,4.119968255444917e-17,1.3877787807814457e-17,4.3810891291968303e-17,-0.029697285519781402,-0.02969728551978137,-0.02969728551978138,-5.582584130504889e-17,-4.313167677181642e-17,-5.6680676502897e-17,0.029697285519781402,23.386572118200654,11.693286059100327,0.0,0.0,2.85971129,2.85971129,2.85971129,90.0,90.0,90.0,0.0,0.0,baseline_zero,0.0,0.0,0.0,0.0,0,0.0,true,false,BASELINE,NOT_APPLICABLE,Pm-3m,221,true,true,true,data/processed/ni_al_structures/selected/AlNi.extxyz
2,AlNi,AlNi,mp-1487,2,atomic_only,ACCEPTED_CONVERGED,false,-10.813681752983006,-5.406840876491503,0.0,0.0,4.888791560310382e-08,4.888791558876923e-08,-5.421010862427522e-18,4.119968255444917e-17,1.3877787807814457e-17,4.3810891291968303e-17,-0.029697285519781402,-0.02969728551978137,-0.02969728551978138,-5.582584130504889e-17,-4.313167677181642e-17,-5.6680676502897e-17,0.029697285519781402,23.386572118200654,11.693286059100327,0.0,0.0,2.85971129,2.85971129,2.85971129,90.0,90.0,90.0,0.0,0.0,fixed-cell periodic minimum-image,0.0,0.0,0.0,0.0,0,0.25,true,,ALREADY_CONVERGED,PASS,Pm-3m,221,true,true,true,results/mace_relaxation/atomic_only/checkpoints/AlNi_atomic_only_result.json
2,AlNi,AlNi,mp-1487,2,full_cell,ACCEPTED_CONVERGED,false,-10.822397327556473,-5.4111986637782366,-0.008715574573466611,-0.004357787286733306,1.5380728593448733e-08,1.5380728580767085e-08,-2.1602594283514442e-17,-3.4357112178512515e-18,-1.8892222855559915e-17,2.890315338807757e-17,0.0006058763453162851,0.0006058763453163399,0.0006058763453162393,2.2718042132595513e-16,5.480994439648397e-18,-7.964637332537697e-17,0.0006058763453163399,24.00121131508189,12.000605657540945,0.6146391968812353,2.6281713873017365,2.8845476680944184,2.8845476680944193,2.8845476680944184,89.99999999999999,90.0,90.0,2.8025568946340096e-09,2.8025565979369462e-09,initial-cell internal-coordinate minimum-image,2.8025568946340096e-09,2.8025565979369462e-09,0.021508937119445497,0.015209115293275087,5,2.14000000001397,true,true,CONVERGED,PASS,Pm-3m,221,true,true,true,results/mace_relaxation/full_cell/checkpoints/AlNi_full_cell_result.json
3,Al3Ni5,Al3Ni5,mp-16514,8,initial,BASELINE,false,-44.56807607688442,-5.571009509610552,0.0,0.0,0.16080041576105142,0.08047034220586187,-5.616979875708685e-18,2.498001805406602e-16,2.7755575615628914e-17,2.514001842458065e-16,-0.04042359454436498,-0.0374954184483201,-0.03847086961862685,0.004519597716073869,1.4748760648434658e-17,1.8244816712616336e-17,0.04042359454436498,90.37206581100938,11.296508226376172,0.0,0.0,3.72527337,4.94345815722683,4.9434597467306105,96.93144550351933,90.0,90.0,0.0,0.0,baseline_zero,0.0,0.0,0.0,0.0,0,0.0,false,false,BASELINE,NOT_APPLICABLE,Cmmm,65,true,true,true,data/processed/ni_al_structures/selected/Al3Ni5.extxyz
