      Step     Time          Energy          fmax
FIRE:    0 14:30:40      -44.568076        0.456645
FIRE:    1 14:30:41      -44.574236        0.433686
FIRE:    2 14:30:42      -44.585208        0.389305
FIRE:    3 14:30:42      -44.598654        0.326390
FIRE:    4 14:30:43      -44.611849        0.248877
FIRE:    5 14:30:44      -44.622315        0.161471
FIRE:    6 14:30:45      -44.628357        0.079247
FIRE:    7 14:30:45      -44.629517        0.075617
FIRE:    8 14:30:46      -44.629564        0.075097
FIRE:    9 14:30:47      -44.629657        0.074066
FIRE:   10 14:30:48      -44.629789        0.072542
FIRE:   11 14:30:49      -44.629954        0.070553
FIRE:   12 14:30:49      -44.630144        0.068139
FIRE:   13 14:30:50      -44.630349        0.065350
FIRE:   14 14:30:51      -44.630562        0.062249
FIRE:   15 14:30:52      -44.630796        0.058557
FIRE:   16 14:30:53      -44.631045        0.054314
FIRE:   17 14:30:54      -44.631301        0.049678
FIRE:   18 14:30:54      -44.631561        0.044979
FIRE:   19 14:30:55      -44.631828        0.040723
FIRE:   20 14:30:56      -44.632116        0.037435
FIRE:   21 14:30:57      -44.632444        0.041778
FIRE:   22 14:30:58      -44.632831        0.046491
FIRE:   23 14:30:59      -44.633299        0.048075
FIRE:   24 14:31:00      -44.633866        0.045324
FIRE:   25 14:31:00      -44.634548        0.037398
FIRE:   26 14:31:01      -44.635319        0.028583
FIRE:   27 14:31:02      -44.636083        0.029841
FIRE:   28 14:31:03      -44.636763        0.031675
FIRE:   29 14:31:04      -44.637457        0.029971
FIRE:   30 14:31:04      -44.638211        0.022137
FIRE:   31 14:31:04      -44.638812        0.012335
FIRE:   32 14:31:04      -44.639150        0.016702
FIRE:   33 14:31:05      -44.639307        0.018867
FIRE:   34 14:31:05      -44.639281        0.007332
