      Step     Time          Energy          fmax
FIRE:    0 14:29:14      -74.695711        0.289286
FIRE:    1 14:29:16      -74.701251        0.284169
FIRE:    2 14:29:17      -74.711250        0.274153
FIRE:    3 14:29:19      -74.723961        0.259595
FIRE:    4 14:29:21      -74.737594        0.243153
FIRE:    5 14:29:22      -74.750826        0.229836
FIRE:    6 14:29:24      -74.762943        0.211667
FIRE:    7 14:29:25      -74.773629        0.188041
FIRE:    8 14:29:27      -74.783501        0.155599
FIRE:    9 14:29:29      -74.791620        0.113333
FIRE:   10 14:29:30      -74.796887        0.061964
FIRE:   11 14:29:32      -74.798250        0.083266
FIRE:   12 14:29:33      -74.798401        0.082833
FIRE:   13 14:29:35      -74.798688        0.081974
FIRE:   14 14:29:36      -74.799082        0.080703
FIRE:   15 14:29:38      -74.799548        0.079040
FIRE:   16 14:29:40      -74.800052        0.077014
FIRE:   17 14:29:41      -74.800566        0.074660
FIRE:   18 14:29:43      -74.801074        0.072026
FIRE:   19 14:29:45      -74.801618        0.068846
FIRE:   20 14:29:46      -74.802187        0.065074
FIRE:   21 14:29:48      -74.802762        0.060652
FIRE:   22 14:29:50      -74.803305        0.055492
FIRE:   23 14:29:51      -74.803785        0.049492
FIRE:   24 14:29:53      -74.804224        0.042631
FIRE:   25 14:29:55      -74.804700        0.035042
FIRE:   26 14:29:57      -74.805273        0.032527
FIRE:   27 14:29:58      -74.805936        0.033824
FIRE:   28 14:30:00      -74.806685        0.033368
FIRE:   29 14:30:02      -74.807501        0.030472
FIRE:   30 14:30:03      -74.808250        0.024692
FIRE:   31 14:30:05      -74.808952        0.016595
FIRE:   32 14:30:07      -74.809550        0.014471
FIRE:   33 14:30:08      -74.809860        0.014787
FIRE:   34 14:30:10      -74.809895        0.021710
FIRE:   35 14:30:11      -74.809963        0.020982
FIRE:   36 14:30:13      -74.810056        0.019496
FIRE:   37 14:30:14      -74.810134        0.017207
FIRE:   38 14:30:16      -74.810192        0.014184
FIRE:   39 14:30:18      -74.810231        0.010666
FIRE:   40 14:30:19      -74.810243        0.006987
