      Step     Time          Energy          fmax
FIRE:    0 14:31:05      -22.836292        0.400569
FIRE:    1 14:31:05      -22.840839        0.356777
FIRE:    2 14:31:05      -22.848006        0.274978
FIRE:    3 14:31:06      -22.854814        0.165564
FIRE:    4 14:31:06      -22.858519        0.041597
FIRE:    5 14:31:06      -22.857728        0.083505
FIRE:    6 14:31:06      -22.857780        0.081430
FIRE:    7 14:31:06      -22.857878        0.077328
FIRE:    8 14:31:06      -22.858013        0.071296
FIRE:    9 14:31:06      -22.858171        0.063478
FIRE:   10 14:31:07      -22.858337        0.054059
FIRE:   11 14:31:07      -22.858494        0.043265
FIRE:   12 14:31:07      -22.858626        0.031359
FIRE:   13 14:31:07      -22.858728        0.017271
FIRE:   14 14:31:07      -22.858772        0.001085
