step,elapsed_seconds,total_energy_eV,energy_per_atom_eV,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_percent,lattice_a_A,lattice_b_A,lattice_c_A,angle_alpha_deg,angle_beta_deg,angle_gamma_deg,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,force_converged,stress_converged,overall_converged,safety_status
0,0.0,-25.78055209010038,-5.156110418020075,0.10259415553179091,0.06833822209400932,0.0779328282836741,2.5063819858718887e-16,-0.023517664718076,-0.023518164956813057,-0.01605193361656587,-1.1946262195306376e-08,1.189897118181321e-09,-3.098263829685444e-07,0.023518164956813057,67.4350609096183,13.48701218192366,0.0,3.994196,3.994195457570523,4.880862,90.0,90.0,120.00002105628027,0.0,0.0,0.0,0.0,False,False,False,PASS
1,1.1560000000754371,-25.78321297098504,-5.156642594197008,0.08584660093482512,0.05548344955545849,0.06376215919441018,9.330267668612791e-17,-0.021736097053053807,-0.02173656227092759,-0.014574265855124119,-1.2170172310283841e-08,2.824376900667911e-09,-2.841336638086061e-07,0.02173656227092759,67.54991493168957,13.509982986337914,0.17031796297359847,3.9967305862264704,3.996730054973271,4.8829757988346,89.9999999661823,90.00000000367797,120.00002000325662,0.0010259415553179468,0.0007793282828368046,0.002296736844669205,0.001676824976767758,False,False,False,PASS
2,1.625,-25.78762607393875,-5.15752521478775,0.05559119479637336,0.032370360075604225,0.0386379514789273,1.1714011442399149e-16,-0.018368913048314284,-0.018369312043272953,-0.011793557226772387,-1.2364046191963686e-08,5.538263771882383e-09,-2.3566340856351173e-07,0.018369312043272953,67.77129795400334,13.554259590800669,0.4986086463771411,4.0016201300693,4.001619620886749,4.887014047063634,89.99999989468247,90.00000001669206,120.00001797731103,0.002902300836844051,0.0021882740197416775,0.006639683778395183,0.004887851829554091,False,False,False,PASS
3,2.172000000020489,-25.792357522520557,-5.158471504504112,0.017758825841753697,0.010449353716944245,0.012415179956026527,1.2850450329689888e-16,-0.013768599335371747,-0.013768907948131886,-0.008016205123486227,-1.2124132119787519e-08,8.43241706930304e-09,-1.6983454300794405e-07,0.013768907948131886,68.08344470283615,13.61668894056723,0.96149359765072,4.008529247676764,4.008528771071258,4.892613323139216,89.99999977781115,90.00000004998846,120.00001512848057,0.005289332270758511,0.003937213794061674,0.012551542092505405,0.009368541599299743,False,False,False,PASS
4,2.781000000075437,-25.796021020320964,-5.159204204064193,0.04039894745735384,0.024110967269885687,0.028476155314388137,8.947332271489039e-17,-0.00838794394914705,-0.008388147457927356,-0.0036223645836413075,-1.1047391325025046e-08,1.0571609734607051e-08,-9.401003088884585e-08,0.008388147457927356,68.46411383017478,13.692822766034956,1.5259909410265005,4.016996921816633,4.016996488105293,4.89924840123385,89.99999960433337,90.00000011908809,120.00001166333298,0.00770238451998831,0.005615720077674348,0.019364154514639045,0.014763854500240764,False,False,False,PASS
5,3.375,-25.797791010548522,-5.159558202109705,0.06124649959073484,0.043657324849273024,0.04917413288665514,5.106161867499289e-17,-0.002764562477921646,-0.002764657897067324,0.0009440059604249477,-8.807332911471671e-09,1.1161098422491724e-08,-1.7558994776225744e-08,0.002764657897067324,68.88263411911133,13.776526823822266,2.1466180796265277,4.026414739696671,4.026414359701875,4.906165290583336,89.99999935839637,90.00000024519714,120.00000785198505,0.009489690548573244,0.00668565578888963,0.02619441242724595,0.02062809153043474,False,False,False,PASS
6,3.922000000020489,-25.797725066178025,-5.159545013235605,0.061288167895495085,0.04708174758585308,0.05268406691613532,7.896275118010451e-17,0.00231935615077949,0.0023193551692733626,0.005010859233322848,-5.317907603755109e-09,9.69980974076368e-09,4.635756133333046e-08,0.005010859233322848,69.28310852327228,13.856621704654454,2.7404848289984907,4.0356689650134845,4.035668648999212,4.912083213349653,89.99999903403531,90.00000044574826,120.00000415792636,0.009908937394994537,0.006615907820966628,0.0333890086200851,0.026239231279837797,False,False,False,PASS
7,4.467999999993481,-25.797776662755066,-5.1595553325510135,0.05921587518816569,0.045467488405686526,0.05087880616860368,9.853648415222937e-17,0.0022522180406128033,0.0022522155768168613,0.004941884109774178,-5.171818992982755e-09,9.480277251493902e-09,4.494292523264385e-08,0.004941884109774178,69.27847674033728,13.855695348067457,2.733616320432586,4.035604115480502,4.035603800614411,4.911912684546404,89.9999990265284,90.00000045344925,120.0000041853608,0.009766994707116002,0.0064999271441193805,0.033368988542064076,0.026173028559876958,False,False,False,PASS
8,5.0,-25.79787390935925,-5.15957478187185,0.05513735409339064,0.042290707968687224,0.04732617377422755,1.699713748190323e-16,0.002119550413820625,0.0021195450262146537,0.004804622113157301,-4.8808636404072406e-09,9.042762267690953e-09,4.2147239202016306e-08,0.004804622113157301,69.26930818337478,13.853861636674955,2.7200201927820133,4.035476300751375,4.035475988181195,4.911573736195189,89.99999901169957,90.00000046868149,120.00000423909998,0.009488138744589902,0.006273956218233849,0.03332733448495422,0.0260430720705549,False,False,False,PASS
9,5.452999999979511,-25.79800564156233,-5.159601128312466,0.04918530330823674,0.037655335577625806,0.04214247014306969,1.7435858561652953e-16,0.0019245117488828872,0.0019245020756645049,0.004600367640050094,-4.447260070100442e-09,8.3900672871046e-09,3.803513894739507e-08,0.004600367640050094,69.25578320086294,13.851156640172587,2.6999638862711395,4.035289248306833,4.035288939185972,4.9110700058448815,89.99999898991196,90.00000049111628,120.00000431684185,0.00908245433047952,0.005950175812529939,0.03326041053815597,0.025853894420661345,False,False,False,PASS
