step,elapsed_seconds,total_energy_eV,energy_per_atom_eV,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_percent,lattice_a_A,lattice_b_A,lattice_c_A,angle_alpha_deg,angle_beta_deg,angle_gamma_deg,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,force_converged,stress_converged,overall_converged,safety_status
0,0.0,-74.69571087869917,-4.668481929918698,0.2127929489094258,0.14473339806982063,0.1505014128742379,3.681686233925158e-16,-0.016041624498206574,-0.018531779439234102,-0.02025182492773854,5.077573533412292e-11,-2.0965047274540503e-12,-5.915717316885883e-07,0.02025182492773854,228.5507372689479,14.284421079309244,0.0,4.770571360012452,6.558905180019103,7.30433827,90.0,90.0,89.99973080413505,0.0,0.0,0.0,0.0,False,False,False,PASS
1,3.375,-74.701251493456,-4.668828218341,0.19592260114561483,0.13534301190011233,0.140059580336975,1.8411243619627236e-16,-0.015507179036813418,-0.018389829216718973,-0.019883894185365576,4.803838586992787e-11,-3.664744830929901e-12,-3.8855343170862144e-07,0.019883894185365576,228.66263261710708,14.291414538569192,0.048958646774122094,4.771254630249538,6.559990423194759,7.305659039297564,90.00000000005194,89.99999999999787,89.9997301990936,0.0021279294890947063,0.0015050141287423534,0.0027188419039855393,0.0018415164279997707,False,False,False,PASS
2,5.062000000034459,-74.71125034310263,-4.669453146443915,0.16490579593386134,0.11851054852066034,0.12151676511962592,2.6738529596068053e-16,-0.014485154525452208,-0.018096609340563286,-0.01916443302879493,4.303954422414481e-11,-5.944613863344706e-12,-2.031804976785829e-08,0.01916443302879493,228.88488188358866,14.305305117724291,0.14620150371580376,4.772600272656916,6.562158590446853,7.308282461833109,90.00000000015305,89.99999999999179,89.99972921518584,0.0062089027645380575,0.004406675239549563,0.007980575129612026,0.0054384406195518275,False,False,False,PASS
3,6.75,-74.72396075597376,-4.67024754724836,0.12480212664147318,0.09802459430733484,0.09932377288957953,8.237365812353162e-17,-0.013052523469703236,-0.0176279608201658,-0.018120644976289627,3.6565618058206263e-11,-7.761470570885383e-12,4.418110933440059e-07,0.018120644976289627,229.215108071337,14.325944254458562,0.2906885404649895,4.774569947454902,6.565413175606101,7.3121807304632345,90.00000000029812,89.99999999997884,89.99972830442965,0.011904682410524644,0.008498153101082215,0.015449399348351035,0.010633084430191708,False,False,False,PASS
4,8.422000000020489,-74.73759399519307,-4.671099624699567,0.08238479483399823,0.07909858531601333,0.0792691602209027,2.415798480513614e-16,-0.01129404662973509,-0.016940767575323885,-0.016783990108210963,2.9471079506313827e-11,-8.421743057590251e-12,9.03896701511244e-07,0.016940767575323885,229.65030552668506,14.353144095417816,0.4811046644943584,4.777109006411879,6.5697657300434695,7.317319070528242,90.00000000048014,89.99999999995627,89.99972810688301,0.018742669902708366,0.013494298566310858,0.024660095689308603,0.017216837228503576,False,False,False,PASS
5,10.125,-74.75082577832944,-4.67192661114559,0.07696550496803665,0.06515786715797516,0.06617479196319333,1.9368227173780134e-16,-0.009287796617099789,-0.015975693444613293,-0.015187559045353521,2.244801789538254e-11,-8.17199758180802e-12,1.2679449575422973e-06,0.015975693444613293,230.18583199316396,14.386614499572747,0.7154187047281102,4.78014122492024,6.575224442317086,7.32364491807167,90.00000000069062,89.99999999992264,89.99972936085877,0.02616058377262873,0.019057184361697614,0.03505655945291917,0.024946472871054736,False,False,False,PASS
6,11.812000000034459,-74.76294281508895,-4.672683925943059,0.09028035757330446,0.055778467455009306,0.06001663235251025,3.2385762864761895e-16,-0.007105574706460485,-0.014672793099591979,-0.013369256743953983,1.583958973166149e-11,-7.777284281986834e-12,1.4601071481464995e-06,0.014672793099591979,230.81313267653272,14.425820792283295,0.9898875998472612,4.783558495333123,6.581766102047329,7.331063508350139,90.0000000009198,89.99999999987789,89.9997327358211,0.0335827014345558,0.02483271457052381,0.04658985823130204,0.033554555969633075,False,False,False,PASS
7,13.297000000020489,-74.77362873441527,-4.673351795900954,0.09696146275483486,0.04946172732848033,0.0565402529467704,5.80846869248089e-17,-0.004821541772794996,-0.012995354626958198,-0.011374738748005032,9.549762187028117e-12,-7.440491902602679e-12,1.4589737342417887e-06,0.012995354626958198,231.5181924356597,14.469887027228731,1.298379170494579,4.7872174356314465,6.589311307818486,7.339423421311742,90.00000000115709,89.99999999982238,89.99973863367279,0.04054079264238897,0.030502254836386092,0.06105214663929045,0.04276551195125095,False,False,False,PASS
8,14.859000000054948,-74.78350056512586,-4.673968785320366,0.09072835618900753,0.04490774361994285,0.05262008566358336,2.2210695015306685e-16,-0.002274702809695723,-0.010714074440985854,-0.00902533255821372,2.521252960213959e-12,-6.121401809789673e-12,1.2782685556252057e-06,0.010714074440985854,232.3654607656338,14.522841297852112,1.6690926234890657,4.7913437905638405,6.598650012054181,7.349522879652589,90.00000000141574,89.99999999974891,89.99974810144751,0.0474012585191891,0.03637210967044186,0.07804056206827334,0.053339763619205664,False,False,False,PASS
9,16.406000000075437,-74.79162025502451,-4.674476265939032,0.06878294356272,0.047118377550086785,0.048777095883594176,2.6973939721813613e-16,0.0004392817577523095,-0.007770796098060091,-0.006324343167989361,-5.530991964879128e-12,-2.2560050900401216e-12,9.7791282563699e-07,0.007770796098060091,233.35063869333695,14.58441491833356,2.1001469878177303,4.795739392593154,6.609881969358894,7.361388095841718,90.00000000168012,89.99999999965667,89.99976154791071,0.05405241141689845,0.042208380046395294,0.09694650838599606,0.06515462408275462,False,False,False,PASS
