step,elapsed_seconds,total_energy_eV,energy_per_atom_eV,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_percent,lattice_a_A,lattice_b_A,lattice_c_A,angle_alpha_deg,angle_beta_deg,angle_gamma_deg,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,force_converged,stress_converged,overall_converged,safety_status
0,0.0,-22.836292364226455,-5.709073091056614,5.978495219488439e-08,5.616175288633721e-08,5.63350977222002e-08,8.309549272970379e-17,-0.03664195876647671,-0.036619047115213375,-0.03661917398439417,-6.518081729040704e-18,2.6831920314577485e-18,5.8249061297221476e-18,0.03664195876647671,43.727854385354966,10.931963596338742,0.0,3.5229346,3.52311529,3.52311429,90.0,90.0,90.0,0.0,0.0,0.0,0.0,True,False,False,PASS
1,0.2809999999590218,-22.84083865520309,-5.710209663800772,4.925278264373983e-08,4.654243319679568e-08,4.665961585007797e-08,1.1855676303358644e-16,-0.032538305050595774,-0.03251576407417165,-0.032515888888542885,5.443343742193146e-17,-4.344371715563729e-18,1.2390307013553124e-17,0.032538305050595774,43.85936717041506,10.964841792603766,0.30075288831035163,3.5264643091615344,3.526642971908485,3.5266419831351974,90.0,90.0,90.0,5.978495364143083e-10,5.6335097785317e-10,0.002495168335394757,0.002160671344414377,True,False,False,PASS
2,0.39099999994505197,-22.848006244694545,-5.712001561173636,3.0763986801495396e-08,2.9620800106386336e-08,2.9653669564931886e-08,1.1323371554663894e-16,-0.024936178351199427,-0.024914368340666106,-0.024914489103231793,2.3673201151122418e-16,-1.3597641344147513e-17,1.504106048548184e-17,0.024936178351199427,44.109091941729645,11.027272985432411,0.8718414423332765,3.5331475333625972,3.533322115122167,3.533321148948614,89.99999999999999,90.0,90.0,1.6842856535466662e-09,1.5898587462149457e-09,0.007219486342532934,0.0062516323522354604,True,False,False,PASS
3,0.6089999999385327,-22.85481371774358,-5.713703429435895,1.0581991220311766e-08,9.328275251766747e-09,9.359618862752641e-09,3.974444505147847e-17,-0.014898323020481318,-0.014877590287828129,-0.014877705079504294,2.4996847189584484e-16,1.3307903414951552e-17,1.4072032633311195e-17,0.014898323020481318,44.45176536888061,11.112941342220152,1.6554916624678784,3.5422778035021425,3.5424461318587626,3.5424452003144737,89.99999999999999,90.0,90.0,3.0555241243378964e-09,2.8928624647603943e-09,0.01367336332921997,0.011840212531240691,True,False,False,PASS
4,0.7339999999385327,-22.85851915369797,-5.714629788424492,1.2175154635929031e-08,9.949047867870997e-09,1.0305969072955743e-08,1.0724696433507626e-16,-0.003709682589233997,-0.00369038331315666,-0.003690490160685386,3.046729898677085e-16,-1.3768496469367665e-17,1.5572472489340454e-17,0.003709682589233997,44.85270993279796,11.21317748319949,2.5724005059340804,3.552902348400674,3.5530618062144796,3.5530609237903836,89.99999999999997,90.0,90.0,4.430712871253746e-09,4.216123390815243e-09,0.021182932195001402,0.018342780095191455,True,False,False,PASS
5,0.890999999945052,-22.857728486385966,-5.7144321215964915,2.2862702143026895e-08,2.0356616796307894e-08,2.058280101152416e-08,7.812991244783952e-17,0.00736109801538226,0.0073781926569380695,0.007378098025734407,2.395202240179771e-16,-2.4671675355938308e-18,-1.544544213806553e-17,0.0073781926569380695,45.271343519601636,11.317835879900409,3.529761878194515,3.5639324395736276,3.5640764311457223,3.564075634358734,89.99999999999999,90.0,90.0,5.195334854803688e-09,5.014230346805211e-09,0.028976947751687455,0.025091008512355854,True,False,False,PASS
6,1.0939999999245629,-22.8577800543494,-5.71444501358735,2.2084076376675732e-08,1.966141831610826e-08,1.988026199184489e-08,8.089684373596053e-17,0.0071789041064399045,0.007195952403774925,0.007195858029339309,3.991142021515684e-16,-9.820673662112203e-18,-2.304460648468369e-17,0.007195952403774925,45.26426134432987,11.316065336082467,3.5135658508080425,3.5637468711127416,3.563890424236534,3.563889629876752,89.99999999999996,90.0,90.0,5.137662603109619e-09,4.962530854814019e-09,0.028845576986243453,0.024977193065498206,True,False,False,PASS
7,1.2189999999245629,-22.857878090840405,-5.714469522710101,2.055095462234509e-08,1.8292668402437503e-08,1.8497040834515415e-08,5.685139908466203e-17,0.006818630331789977,0.006835585753990149,0.006835491894123211,3.526083357874919e-16,-5.8261318774297915e-18,2.1310526185087177e-17,0.006835585753990149,45.25027637910792,11.31256909477698,3.4815840272804044,3.5633803845262375,3.5635230613375644,3.5635222718289628,89.99999999999997,90.0,90.0,5.024350359068178e-09,4.860972188503239e-09,0.02858612394773172,0.02475241015007152,True,False,False,PASS
8,1.327999999979511,-22.85801289130003,-5.714503222825008,1.8312812619991417e-08,1.6294721646660244e-08,1.6477925876771142e-08,2.639850493132286e-17,0.006288449280481429,0.006305264689836651,0.006305171605693776,1.9588130785700085e-16,2.802709735994821e-17,2.1604274293095765e-17,0.006305264689836651,45.22974284888855,11.307435712222137,3.4346264746906607,3.5628421696665233,3.562983531408069,3.5629827491795405,89.99999999999999,90.0,90.0,4.859512623213261e-09,4.71327882748213e-09,0.028205086536329724,0.024422287021818204,True,False,False,PASS
9,1.5,-22.85817108905193,-5.714542772262982,1.544549251989596e-08,1.3735556663776041e-08,1.3891565603763361e-08,1.7743945810019597e-16,0.005600477900232312,0.005617104847994033,0.005617012807985716,-5.1934504782133e-17,5.818339534007469e-17,3.044170977807495e-17,0.005617104847994033,45.203180841958556,11.300795210489639,3.3738825683102602,3.562145735517289,3.5622853384952653,3.562284566003014,90.00000000000001,90.0,90.0,4.64935034241134e-09,4.525063342490666e-09,0.027712015322337465,0.023995094211698396,True,False,False,PASS
